id,name,state,grade,score,size_tier,national_percentile,snapshot_date,days_until_expiry,expiry_status,mdb_id,validator_version,feed_url,top_fix,scorecard_url
trimet-portland-streetcar,"TriMet, Portland Streetcar",Oregon,C,70.0,large,61,2026-07-04,147,current,247,8.0.1,http://developer.trimet.org/schedule/gtfs.zip,Review the rule documentation for 'block_trips_with_overlapping_stop_times' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,https://gtfsscorecard.org/agency/trimet-portland-streetcar/
trinity-metro,Trinity Metro,,C,75.1,large,69,2026-07-04,84,current,2890,8.0.1,https://gtfsdata.ridetm.org/gtfs/fwtatransitdata.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/trinity-metro/
trinity-transit,Trinity Transit,,F,53.7,medium,42,2026-07-04,-178,lapsed,,8.0.1,https://data.trilliumtransit.com/gtfs/weaverville-ca-us/weaverville-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/trinity-transit/
trinity-transit-115,Trinity Transit,California,F,53.7,medium,42,2026-07-04,-178,lapsed,115,8.0.1,http://data.trilliumtransit.com/gtfs/weaverville-ca-us/weaverville-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/trinity-transit-115/
trinity-transit-2709,Trinity Transit,California,B,87.6,small,96,2026-07-04,180,current,2709,8.0.1,https://gtfs.remix.com/trinity_county_ca.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/trinity-transit-2709/
tsc-transit,Flex v2 included,Colorado,F,55.5,small,44,2026-07-04,-3,lapsed,2052,8.0.1,https://data.trilliumtransit.com/gtfs/tsctransit-co-us/tsctransit-co-us--flex-v2.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/tsc-transit/
tulare-county-area-transit-tcat,Tulare County Area Transit (TCAT),,C,73.8,medium,67,2026-07-04,89,current,,8.0.1,https://data.trilliumtransit.com/gtfs/tcrta-ca-us/tcrta-ca-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/tulare-county-area-transit-tcat/
turlock-transit,Turlock Transit,,B,80.6,medium,82,2026-07-04,179,current,,8.0.1,https://data.trilliumtransit.com/gtfs/turlock-ca-us/turlock-ca-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/turlock-transit/
turlock-transit-619,Turlock Transit,California,B,80.6,medium,82,2026-07-04,179,current,619,8.0.1,http://data.trilliumtransit.com/gtfs/turlock-ca-us/turlock-ca-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/turlock-transit-619/
ucsc-transportation-and-parking-services,UCSC Transportation and Parking Services,California,F,50.8,small,36,2026-07-04,-182,lapsed,1842,8.0.1,https://pinpointavl.com/TAPS-GTFS.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/ucsc-transportation-and-parking-services/
ulster-county-area-transit,Ulster County Area Transit,New York,F,53.3,medium,41,2026-07-04,180,current,526,8.0.1,https://s3.amazonaws.com/datatools-511ny/public/UCAT_Ulster_County_Area_Transit.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/ulster-county-area-transit/
union-city-transit,Union City Transit,,F,51.9,medium,39,2026-07-04,-1011,stale,,8.0.1,https://data.trilliumtransit.com/gtfs/unioncity-ca-us/unioncity-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/union-city-transit/
